alleles,synonymous,nonsynonymous
0,22296547.0,7431739.0
1,43574.0,14989.0
2,14321.0,4997.0
3,7448.0,2650.0
4,4946.0,1799.0
5,3610.0,1217.0
6,2908.0,946.0
7,2357.0,758.0
8,1992.0,723.0
9,1771.0,609.0
10,1675.0,559.0
11,1526.0,504.0
12,1453.0,445.0
13,1422.0,419.0
14,1251.0,464.0
15,1263.0,429.0
16,1234.0,381.0
17,1346.0,404.0
18,1496.0,462.0
19,1842.0,611.0
20,106018.0,34895.0
