alleles,synonymous,nonsynonymous
0,22296696.0,7431690.0
1,43355.0,14927.0
2,14407.0,5076.0
3,7485.0,2657.0
4,4936.0,1727.0
5,3516.0,1234.0
6,2888.0,1041.0
7,2385.0,814.0
8,2018.0,668.0
9,1807.0,597.0
10,1673.0,525.0
11,1505.0,506.0
12,1427.0,508.0
13,1408.0,468.0
14,1324.0,434.0
15,1273.0,396.0
16,1315.0,410.0
17,1300.0,344.0
18,1399.0,495.0
19,1892.0,596.0
20,105991.0,34887.0
