alleles,synonymous,nonsynonymous
0,28323404.0,0.0
1,168072.0,0.0
2,84799.0,0.0
3,57310.0,0.0
4,43409.0,0.0
5,35033.0,0.0
6,29004.0,0.0
7,25514.0,0.0
8,22100.0,0.0
9,19704.0,0.0
10,17839.0,0.0
11,16256.0,0.0
12,15190.0,0.0
13,14188.0,0.0
14,13425.0,0.0
15,12743.0,0.0
16,12411.0,0.0
17,12348.0,0.0
18,12738.0,0.0
19,15215.0,0.0
20,1049298.0,0.0
