alleles,synonymous,nonsynonymous
0,22296479.0,7431696.0
1,43591.0,14919.0
2,14434.0,5119.0
3,7422.0,2650.0
4,4907.0,1728.0
5,3686.0,1229.0
6,2821.0,952.0
7,2361.0,819.0
8,2030.0,673.0
9,1828.0,609.0
10,1659.0,557.0
11,1542.0,515.0
12,1402.0,493.0
13,1354.0,433.0
14,1319.0,426.0
15,1294.0,398.0
16,1255.0,392.0
17,1287.0,426.0
18,1422.0,457.0
19,1923.0,588.0
20,105984.0,34921.0
