alleles,synonymous,nonsynonymous
0,28323712.0,0.0
1,168080.0,0.0
2,84556.0,0.0
3,57269.0,0.0
4,43333.0,0.0
5,35065.0,0.0
6,29325.0,0.0
7,25116.0,0.0
8,22188.0,0.0
9,19811.0,0.0
10,17780.0,0.0
11,16176.0,0.0
12,15177.0,0.0
13,14317.0,0.0
14,13408.0,0.0
15,12833.0,0.0
16,12590.0,0.0
17,12236.0,0.0
18,12524.0,0.0
19,15089.0,0.0
20,1049415.0,0.0
