alleles,synonymous,nonsynonymous
0,22296288.0,7431567.0
1,43898.0,15013.0
2,14325.0,5080.0
3,7428.0,2690.0
4,4962.0,1736.0
5,3594.0,1198.0
6,2808.0,1002.0
7,2290.0,844.0
8,2121.0,681.0
9,1757.0,576.0
10,1600.0,521.0
11,1575.0,589.0
12,1475.0,472.0
13,1375.0,470.0
14,1326.0,404.0
15,1246.0,389.0
16,1318.0,390.0
17,1311.0,415.0
18,1439.0,450.0
19,1828.0,597.0
20,106036.0,34916.0
