alleles,synonymous,nonsynonymous
0,22296261.0,7431819.0
1,43787.0,14903.0
2,14460.0,4931.0
3,7464.0,2652.0
4,4890.0,1782.0
5,3546.0,1243.0
6,2848.0,940.0
7,2324.0,841.0
8,2038.0,699.0
9,1858.0,618.0
10,1677.0,555.0
11,1539.0,500.0
12,1467.0,467.0
13,1402.0,444.0
14,1299.0,440.0
15,1300.0,393.0
16,1273.0,391.0
17,1276.0,400.0
18,1422.0,475.0
19,1887.0,606.0
20,105982.0,34901.0
