alleles,synonymous,nonsynonymous
0,22296474.0,7431630.0
1,43596.0,14915.0
2,14306.0,5000.0
3,7546.0,2727.0
4,4932.0,1762.0
5,3606.0,1258.0
6,2790.0,1017.0
7,2331.0,818.0
8,2072.0,696.0
9,1821.0,584.0
10,1684.0,544.0
11,1533.0,508.0
12,1494.0,464.0
13,1337.0,442.0
14,1267.0,455.0
15,1310.0,417.0
16,1291.0,400.0
17,1345.0,402.0
18,1430.0,436.0
19,1824.0,577.0
20,106011.0,34948.0
