alleles,synonymous,nonsynonymous
0,28323535.0,0.0
1,168073.0,0.0
2,84462.0,0.0
3,57519.0,0.0
4,43667.0,0.0
5,35078.0,0.0
6,29190.0,0.0
7,25220.0,0.0
8,22029.0,0.0
9,19861.0,0.0
10,17666.0,0.0
11,16213.0,0.0
12,15179.0,0.0
13,14073.0,0.0
14,13562.0,0.0
15,12866.0,0.0
16,12392.0,0.0
17,12296.0,0.0
18,12538.0,0.0
19,15224.0,0.0
20,1049357.0,0.0
