alleles,synonymous,nonsynonymous
0,22296246.0,7431819.0
1,43828.0,14854.0
2,14374.0,5045.0
3,7404.0,2619.0
4,4950.0,1737.0
5,3586.0,1244.0
6,2827.0,970.0
7,2435.0,846.0
8,2039.0,685.0
9,1791.0,612.0
10,1779.0,547.0
11,1446.0,510.0
12,1424.0,430.0
13,1343.0,456.0
14,1441.0,413.0
15,1216.0,418.0
16,1249.0,383.0
17,1261.0,437.0
18,1447.0,462.0
19,1914.0,608.0
20,106000.0,34905.0
