alleles,synonymous,nonsynonymous
0,22296108.0,7431578.0
1,43868.0,14898.0
2,14421.0,5116.0
3,7468.0,2752.0
4,4921.0,1679.0
5,3632.0,1238.0
6,2878.0,986.0
7,2305.0,793.0
8,2042.0,736.0
9,1835.0,632.0
10,1694.0,562.0
11,1475.0,540.0
12,1470.0,447.0
13,1364.0,441.0
14,1377.0,412.0
15,1359.0,408.0
16,1244.0,402.0
17,1293.0,415.0
18,1404.0,460.0
19,1858.0,593.0
20,105984.0,34912.0
