alleles,synonymous,nonsynonymous
0,22295866.0,7431700.0
1,44112.0,14977.0
2,14421.0,5000.0
3,7595.0,2700.0
4,4904.0,1710.0
5,3510.0,1274.0
6,2894.0,971.0
7,2377.0,815.0
8,2037.0,692.0
9,1809.0,629.0
10,1665.0,543.0
11,1571.0,485.0
12,1450.0,452.0
13,1367.0,452.0
14,1329.0,416.0
15,1230.0,420.0
16,1257.0,395.0
17,1327.0,386.0
18,1398.0,465.0
19,1809.0,589.0
20,106072.0,34929.0
