alleles,synonymous,nonsynonymous
0,22296124.0,7431595.0
1,44111.0,15128.0
2,14297.0,5014.0
3,7451.0,2641.0
4,4953.0,1715.0
5,3489.0,1228.0
6,2823.0,948.0
7,2318.0,838.0
8,2032.0,678.0
9,1858.0,637.0
10,1704.0,530.0
11,1580.0,533.0
12,1472.0,462.0
13,1334.0,442.0
14,1315.0,424.0
15,1346.0,394.0
16,1216.0,421.0
17,1260.0,404.0
18,1441.0,458.0
19,1834.0,563.0
20,106042.0,34947.0
