alleles,synonymous,nonsynonymous
0,28323227.0,0.0
1,167690.0,0.0
2,85023.0,0.0
3,57518.0,0.0
4,43774.0,0.0
5,34952.0,0.0
6,29055.0,0.0
7,25385.0,0.0
8,22158.0,0.0
9,19539.0,0.0
10,17809.0,0.0
11,16276.0,0.0
12,15308.0,0.0
13,14238.0,0.0
14,13476.0,0.0
15,12946.0,0.0
16,12184.0,0.0
17,12129.0,0.0
18,12869.0,0.0
19,15038.0,0.0
20,1049406.0,0.0
